GET http://shell2017.picoctf.com:16929/ name=http://shell2017.picoctf.com:16929/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=4818 notes=4 sig=0xdfe37b1
GET http://shell2017.picoctf.com:16929/public/ name=public type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=146 notes=1 sig=0x91b7e6d7
GET http://shell2017.picoctf.com:16929/public/blur/ name=blur type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=151 notes=1 sig=0x338badff
GET http://shell2017.picoctf.com:16929/public/blur/BlurXFilter name=BlurXFilter type=unknown linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=162 notes=0 sig=0xffdfffff
GET http://shell2017.picoctf.com:16929/public/blur/BlurYFilter name=BlurYFilter type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=162 notes=0 sig=0xffdfffff
GET http://shell2017.picoctf.com:16929/public/css/ name=css type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=150 notes=1 sig=0x6aa31838
GET http://shell2017.picoctf.com:16929/public/css/style.css name=style.css type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=6045 notes=2 sig=0x9f12d32a
GET http://shell2017.picoctf.com:16929/public/display/ name=display type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=154 notes=1 sig=0xd74e63ce
GET http://shell2017.picoctf.com:16929/public/display/Container name=Container type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=163 notes=0 sig=0xffdfffff
GET http://shell2017.picoctf.com:16929/public/filters/ name=filters type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=154 notes=1 sig=0xa52d04f7
GET http://shell2017.picoctf.com:16929/public/filters/SpriteMaskFilter name=SpriteMaskFilter type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=170 notes=0 sig=0xffdfffff
GET http://shell2017.picoctf.com:16929/public/html/ name=html type=dir linked=maybe browsers=0 browser_used=FAST dup=0 code=200 len=4818 notes=4 sig=0x8435bfe
GET http://shell2017.picoctf.com:16929/public/html/index.html name=index.html type=file linked=maybe browsers=0 browser_used=FAST dup=0 code=200 len=4818 notes=1 sig=0x7bd78051
GET http://shell2017.picoctf.com:16929/public/js/ name=js type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=149 notes=1 sig=0x3fa4ee6
GET http://shell2017.picoctf.com:16929/public/js/animations.js name=animations.js type=unknown linked=yes browsers=0 browser_used=FAST dup=0 code=0 len=0 notes=1 sig=0x6a841831
GET http://shell2017.picoctf.com:16929/public/js/client.js name=client.js type=unknown linked=yes browsers=0 browser_used=FAST dup=1 code=0 len=0 notes=1 sig=0x6a841831
GET http://shell2017.picoctf.com:16929/public/lib/ name=lib type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=150 notes=1 sig=0x5ad988da
GET http://shell2017.picoctf.com:16929/public/lib/ascii/ name=ascii type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=156 notes=1 sig=0x3835bd39
